TCR_pair_id,MHC_allele_id,peptides,refs,set_number
0,0,3;15;51;0;17,4MS8;4MXQ;4N0C;4N5E;4MVB,1
0,6,11;78;28,3TJH;3TFK;3TPU,2
1,1,30;1,8GVB;8GVG,3
2,2,2;47,7NME;7NMG,4
3,3,56;4;19;26,7Q9A;3HG1;4QOK;6EQA,5
4,3,19;4;12,6TMO;4JFF;4JFD,6
5,3,5;9;68,5C0B;5C0A;5C09,7
6,3,37;6,5NMG;5NME,8
7,3,20;7,2BNQ;2BNR,9
9,5,32;42;57;77;10;65,5M02;6G9Q;5M01;5M00;5TIL;5TJE,10
10,3,26;13;4,3QDJ;6AM5;3QDG,11
11,3,14;26,4JFE;6EQB,12
12,8,45;16;48,8RLT;8RLU;8RLV,13
13,3,21;18;59;22;31,3QFJ;2GJ6;1AO7;3PWP;3H9S,14
14,4,35;23,7OW5;7OW6,15
15,20,49;75,5C0C;5C07,16
15,3,36;24,3UTS;5HYJ,17
16,3,25;64,1QSE;1QRN,18
19,22,69;52,3KPR;3KPS,19
20,13,34;74,3MV7;4PRP,20
21,1,38;79,3VXS;3VXR,21
23,3,41;73,6VM7;6VM8,22
24,16,71;43,5BS0;5BRZ,23
25,17,46;44,1G6R;2CKB,24
26,3,41;63;73,6VMA;6VMC;6VM9,25
28,23,53;61,7N2R;7N2P,26
29,24,54;62,5W1W;5W1V,27
30,13,60;58;66,8V51;8V4Z;8V50,28
31,23,72;53,7N2O;7N2N,29
32,13,76;58,8EO8;8ENH,30
